HouseAge,Bedroom,FullBath,LotArea,Location,SalePrice
2003,3,2,8450,Urban,208500
1976,3,2,9600,SubUrban,181500
2001,3,2,11250,Rural,223500
1915,3,1,9550,Urban,140000
2000,4,2,14260,SubUrban,250000
1993,1,1,14115,Rural,143000
2004,3,2,10084,Urban,307000
1973,3,2,10382,SubUrban,200000
1931,2,2,6120,Rural,129900
1939,2,1,7420,Urban,118000
1965,3,1,11200,SubUrban,129500
2005,4,3,11924,Urban,345000
1962,2,1,12968,SubUrban,144000
2006,3,2,10652,Rural,279500
1960,2,1,10920,Urban,157000
1929,2,1,6120,SubUrban,132000
1970,2,1,11241,Urban,149000
1967,2,2,10791,SubUrban,90000
2004,3,1,13695,Rural,159000
1958,3,1,7560,Urban,139000
2005,4,3,14215,SubUrban,325300
1930,3,1,7449,Urban,139400
2002,3,2,9742,SubUrban,230000
1976,3,1,4224,Rural,129900
1968,3,1,8246,Urban,154000
2007,3,2,14230,SubUrban,256300
1951,3,1,7200,Urban,134800
2007,3,2,11478,SubUrban,306000
1957,2,1,16321,Rural,207500
1927,1,1,6324,Urban,68500
1920,3,1,8500,SubUrban,40000
1966,3,1,8544,Urban,149350
2007,3,2,11049,SubUrban,179900
1959,4,1,10552,Rural,165500
2005,2,2,7313,Urban,277500
2004,4,3,13418,SubUrban,309000
1994,3,1,10859,Urban,145000
1954,3,1,8532,SubUrban,153000
1953,3,1,7922,Rural,109000
1955,2,2,6040,Urban,82000
1965,3,2,8658,SubUrban,160000
1959,2,1,16905,Urban,170000
1983,2,1,9180,SubUrban,144000
1975,3,1,9200,Urban,130250
1959,3,1,7945,Urban,141000
2005,2,2,7658,Urban,319900
2003,1,1,12822,SubUrban,239686
2006,3,2,11096,Urban,249700
1920,2,2,4456,SubUrban,113000
1966,3,1,7742,Urban,127000
1997,3,2,13869,Urban,177000
1934,3,1,6240,Urban,114500
1963,2,1,8472,SubUrban,110000
1981,0,0,50271,Urban,385000
1955,3,1,7134,SubUrban,130000
1964,3,2,10175,Urban,180500
1999,3,2,2645,Urban,172500
2004,3,2,11645,Urban,196500
2006,3,3,13682,SubUrban,438780
1972,2,1,7200,Urban,124900
2004,3,1,13072,SubUrban,158000
1920,3,1,7200,Urban,101000
2006,2,2,6442,Urban,202500
1921,3,2,10300,Urban,140000
1997,3,2,9375,SubUrban,219500
2004,4,2,9591,SubUrban,317000
1970,3,2,19900,SubUrban,180000
2003,3,2,10665,SubUrban,226000
1945,2,1,4608,SubUrban,80000
1953,3,2,15593,SubUrban,225000
1973,3,2,13651,Urban,244000
1982,2,1,7599,Urban,129500
1998,3,2,10141,Urban,185000
1954,3,1,10200,Urban,144900
1915,3,2,5790,Urban,107400
1973,2,1,1596,Urban,91000
1956,2,1,8475,Urban,135750
1948,2,1,8635,SubUrban,127000
1968,4,2,10778,Urban,136500
1910,2,1,10440,SubUrban,110000
1968,4,2,13000,Urban,193500
1998,2,2,4500,Urban,153500
2007,3,2,10206,Urban,245000
1960,3,1,8892,Urban,126500
1995,3,2,8530,SubUrban,168500
1991,4,2,16059,Urban,260000
2005,3,2,11911,SubUrban,174000
2009,2,2,3951,Urban,164500
1915,2,1,8470,Rural,85000
1994,3,1,8070,Rural,123600
1950,2,1,7200,Rural,109900
1961,2,1,8500,SubUrban,98600
1921,2,1,13360,Urban,163500
1910,4,2,7200,SubUrban,133900
1997,3,2,9337,Urban,204750
1993,3,2,9765,SubUrban,185000
1999,3,2,10264,Urban,214000
1965,3,1,10921,SubUrban,94750
1920,2,1,10625,Urban,83000
1959,3,1,9320,Urban,128950
1977,3,2,10603,Urban,205000
1985,3,2,9206,Urban,178000
1979,4,2,7018,SubUrban,118964
2009,3,2,10402,Urban,198900
1931,4,1,7758,SubUrban,169500
2003,3,2,9375,Urban,250000
1885,2,1,10800,Urban,100000
1948,2,1,6000,Urban,115000
1919,3,2,8500,Urban,115000
1977,3,2,11751,SubUrban,190000
1954,4,2,9525,Urban,136900
2000,3,2,7750,SubUrban,180000
2007,4,2,9965,Urban,383970
1953,3,2,21000,SubUrban,217000
1945,3,2,7259,Urban,259500
1999,2,2,3230,SubUrban,176000
1962,3,1,11616,Urban,139000
2006,2,1,8536,Urban,155000
1990,5,3,12376,Urban,320000
2005,3,2,8461,Urban,163990
1969,1,1,21453,SubUrban,180000
1939,3,1,6060,Urban,100000
1958,3,1,9464,SubUrban,136000
1993,2,2,7892,Urban,153900
1979,3,2,17043,Urban,181000
1935,2,1,6780,Urban,84500
1976,2,2,4928,Urban,128000
1930,3,1,4388,SubUrban,87000
1966,3,1,7590,Urban,155000
1958,3,1,8973,SubUrban,150000
1966,4,2,14200,Urban,226000
2000,3,2,12224,SubUrban,244000
1959,3,1,7388,Urban,150750
2001,2,2,6853,SubUrban,220000
1968,3,2,10335,Urban,180000
